Section	.text	.rodata	.data	.bss	.bssSize	.sdata	.sbss
LibMcrd::LOW	800cb0c8	80038c8c	N/A	8010ae80	0x2c0	N/A	N/A
LibCard::A79	800cbb58	N/A	N/A	N/A	0	N/A	N/A
LibMcrd::UNFORMAT	800cbb68	80038c9c	N/A	N/A	0	N/A	N/A
LibSpu::S_CRWA	800cbc18	N/A	N/A	N/A	0	N/A	N/A
LibSpu::SPU	800cbdb8	80038cbc	800fb5f4	8010b140	0x14	N/A	N/A
LibSpu::S_INI	800cc8f8	N/A	800fb654	N/A	0	N/A	N/A
LibSpu::S_DCB	800cca58	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_M_UTIL	800cca88	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_STM	800ccb98	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_SCCV	800ccbc8	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_SCCM	800ccbe8	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_M	N/A	N/A	800fb6d4	N/A	0	N/A	N/A
LibSpu::ZEROBUF	N/A	N/A	800fb6e4	N/A	0	N/A	N/A
LibSpu::RMP0	N/A	N/A	800fbae4	N/A	0	N/A	N/A
LibSpu::RMP1	N/A	N/A	800fbb14	N/A	0	N/A	N/A
LibSnd::SSACCELE	800ccc28	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSCALL	800cce68	N/A	N/A	N/A	0	N/A	N/A
LibSnd::CRES	800cd0d8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::PAUSE	800cd2e8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::PLAY	800cd388	N/A	N/A	N/A	0	N/A	N/A
LibSnd::MIDIREAD	800cd3b8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::MIDITIME	800cdaa8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::NEXT	800cdb58	N/A	N/A	N/A	0	N/A	N/A
LibSnd::REPLAY	800cdc58	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSCLOSE	800cdcb8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSCRES	800cde88	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSDECRES	800ce048	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSEND	800ce218	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSINIT_C	800ce2c8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSISEOS	800ce3c8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSOPENQ	800ce408	80038d0c	N/A	N/A	0	N/A	N/A
LibSnd::CC_0	800CE698	N/A	N/A	N/A	0	N/A	N/A
LibSnd::CC_6	800CE718	N/A	N/A	N/A	0	N/A	N/A
LibSnd::CC_7	800CEA98	N/A	N/A	N/A	0	N/A	N/A
LibSnd::CC_10	800CEB68	N/A	N/A	N/A	0	N/A	N/A
LibSnd::CC_11	800CEC38	N/A	N/A	N/A	0	N/A	N/A
LibSnd::CC_64	800CED28	N/A	N/A	N/A	0	N/A	N/A
LibSnd::CC_91	800CEDD8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::CC_98	800CEE68	N/A	N/A	N/A	0	N/A	N/A
LibSnd::CC_99	800CEF68	N/A	N/A	N/A	0	N/A	N/A
LibSnd::CC_100	800CF0A8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::CC_101	800CF118	N/A	N/A	N/A	0	N/A	N/A
LibSnd::CC_121	800CF188	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_0	800CF248	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_1	800CF2D8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_2	800CF398	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_3	800CF428	N/A	N/A	N/A	0	N/A	N/A
